No.,name,address,types,,business_status,rating,user_ratings_total
0,FDC South CIty Dental & Orthodontic Clinic,"119, 1st Floor, South City Arcade, Block D, South City I, Sector 41, Gurugram","dentist, doctor, health, point_of_interest, establishment",,OPERATIONAL,4.9,63
1,Align Orthodontics A Multi-specialty Dental Clinic,"B 280 GF, Sushant Lok III, Sector 57, Gurugram","dentist, health, point_of_interest, establishment",,OPERATIONAL,4,4
2,Dr. Gupta's Dental Implant & Orthodontic Centre,"H.No 1280, Main Market Opposite Community Center, Sector 31, Gurugram","dentist, doctor, health, point_of_interest, establishment",,OPERATIONAL,4.9,178
3,Smile Dental Clinic,"Shop no. 44, Sector, 46, HUDA Main market, Gurugram","dentist, health, point_of_interest, establishment",,OPERATIONAL,4.9,138
4,"Singh Dental (The Smile Studio) - RCT, Dental Implants, Orthodontic & Teeth Aligners Treatment (Dr. Rachna Singh)","Old Bypass Rd, near Sector 17 A, next to Bliss Premiere, Sukhrali Enclave, main gate, Gurugram","dentist, health, point_of_interest, establishment",,OPERATIONAL,5,47
5,"Dr Parul Giri, Best Dentist in Sector 50, Gurgaon, Cosmetic Dentist, Teeth Whitening, Denture, Gum Treatment, Best Orthodontist in Gurugram","Flat No 139, Ground Floor, Woodstock Floors, Sector 50, Gurugram","dentist, health, point_of_interest, establishment",,OPERATIONAL,5,6
6,AK Global Dent - A Centre for Modern Dentistry & Orthodontics,"105, First Floor (Above Mercedes Showroom Global Foyer Building, Golf Course Road, Gurugram","dentist, health, point_of_interest, establishment",,OPERATIONAL,5,117
7,orbit dental clinic and orthodontic centre,"Jharsa Rd, Kirti Nagar, Sector 15 Part 1, Sector 15, Gurugram","dentist, health, point_of_interest, establishment",,OPERATIONAL,0,0
8,Goyal orthodontic and dental clinic,"93, Sector 15 Part 2, Sector 15, Gurugram","dentist, health, point_of_interest, establishment",,OPERATIONAL,4.6,19
9,Braces R us - Invisalign & Damon,"2nd floor, VRJ Tower, Sector 27, DLF Phase-1, On Golf Course Road near 3M car Care, near Jalsa Restaurant, Sector 27, Gurugram","dentist, health, point_of_interest, establishment",,OPERATIONAL,4.9,17
10,Smile On Dental and Orthodontic Clinic (Dr. Amit Rajain & Dr Shivani)),"Shop No.19A, First Floor, F Block Market, SouthCity II, Near Narayana Public School, Nirvana Country, Sector 50, Gurugram","dentist, health, point_of_interest, establishment",,OPERATIONAL,5,6
11,My Braces Dental & Implants Dr Monica Lall,"Rd to F Block, near Water Tank, F 59 G, Sushant Lok III, Sector 57, Gurugram","hospital, dentist, health, point_of_interest, establishment",,OPERATIONAL,5,48
12,The Orthodontist Clinic,"Supermart -1,D.L.F. Phase 4, Gurugram","dentist, health, point_of_interest, establishment",,OPERATIONAL,0,0
13,Shri Ram Dental Care & Orthodontic Center,"62, Bhargava Place, New Railway Road, New Railway Road, Gurugram","dentist, health, point_of_interest, establishment",,OPERATIONAL,1,1
14,Nagpal Dental Clinic & Orthodontic Center,"New Colony More, Old Railway Road, Rattan Garden, Gurugram","dentist, health, point_of_interest, establishment",,OPERATIONAL,5,2
15,DR GROVERS DENTAL CLINIC,"A-229, Mulberry Ave, Supermart-1, DLF Phase IV, Gurugram","dentist, health, point_of_interest, establishment",,OPERATIONAL,4.9,202
16,ClearPath Orthodontics,"Shop No.46/4, Mehrauli Rd, Anamika Enclave, Sector 14, Gurugram","dentist, health, point_of_interest, establishment",,OPERATIONAL,0,0
17,"Dr Chandna's Dental and Implant Centre,dental implant in sector 10 gurgaon. Orthodontist ,wisdom teeth extraction in sector 10 Gurgaon","House no.67, main market, opposite om sweets, Sector 10A, Gurugram","dentist, health, point_of_interest, establishment",,OPERATIONAL,5,9
18,Smile 'n' Shine Dental Care Centre - Multispecialty Dental & Implant Centre in Gurgaon,"44, Madhya Marg, Mushedpur, DLF Phase 2, Sector 25, Gurugram","dentist, health, point_of_interest, establishment",,OPERATIONAL,4.5,22
19,The Dental Roots,"A â€“ 738, Sushant Lok 1 Rd, Block A, Sushant Lok Phase I, Sector 43, Gurugram","doctor, dentist, health, point_of_interest, establishment",,OPERATIONAL,4.8,154
